WordCounter 1Nephi.txt
the => 1997
of => 1239
and => 1062
that => 696
I => 577
to => 543
And => 531
unto => 411
they => 368
it => 364
he => 316
in => 298
my => 277
which => 261
Lord => 247
be => 235
did => 235
came => 231
pass => 210
them => 210
a => 198
shall => 196
me => 178
for => 171
had => 170
all => 167
God => 162
were => 156
also => 151
things => 147
their => 146
we => 142
his => 139
not => 138
have => 137
was => 136
with => 129
father => 125
should => 123
are => 114
upon => 110
after => 108
our => 107
is => 106
him => 102
ye => 101
by => 92
said => 91
who => 90
beheld => 89
yea => 89
behold => 87
many => 87
as => 85
from => 85
these => 83
thou => 80
because => 78
saw => 78
even => 77
us => 77
Nephi => 74
brethren => 73
into => 73
hath => 72
spake => 72
will => 71
thy => 70
forth => 69
great => 69
wilderness => 69
land => 68
Israel => 66
out => 66
this => 61
wherefore => 60
people => 58
Lamb => 57
been => 57
Gentiles => 56
words => 56
know => 55
against => 54
seed => 54
come => 53
earth => 52
up => 52
away => 51
house => 51
saying => 49
Behold => 48
according => 46
children => 46
again => 45
before => 45
concerning => 45
power => 45
angel => 44
if => 44
make => 44
plates => 44
would => 44
time => 42
down => 41
men => 41
Laban => 40
do => 40
must => 40
Jerusalem => 39
go => 39
Wherefore => 38
among => 37
might => 37
thee => 37
an => 36
exceedingly => 36
spoken => 35
Spirit => 34
now => 34
at => 33
For => 32
hearts => 32
when => 32
commandments => 31
made => 31
other => 31
commanded => 30
led => 30
tree => 29
you => 29
Yea => 28
manner => 28
those => 28
much => 27
record => 27
written => 27
but => 26
day => 26
saith => 26
so => 26
word => 26
Jews => 25
Laman => 25
days => 25
one => 25
or => 25
there => 25
seen => 24
speak => 24
fruit => 23
hands => 23
insomuch => 23
man => 23
more => 23
waters => 23
went => 23
Lemuel => 22
began => 22
church => 22
give => 22
mine => 22
nations => 22
off => 22
prophet => 22
say => 22
take => 22
thereof => 22
thing => 22
way => 22
world => 22
like => 21
own => 21
precious => 21
thus => 21
together => 21
Holy => 20
Ishmael => 20
O => 20
being => 20
done => 20
fathers => 20
may => 20
no => 20
perish => 20
righteous => 20
But => 19
brought => 19
hast => 19
knew => 19
mother => 19
whom => 19
looked => 18
on => 18
voice => 18
am => 17
brass => 17
captivity => 17
cast => 17
face => 17
life => 17
ship => 17
space => 17
then => 17
twelve => 17
Now => 16
about => 16
above => 16
called => 16
destruction => 16
gathered => 16
has => 16
most => 16
murmur => 16
over => 16
save => 16
scattered => 16
work => 16
your => 16
account => 15
book => 15
carried => 15
heard => 15
shalt => 15
Look => 14
abominable => 14
flesh => 14
food => 14
multitudes => 14
