size 0
insert apple 3
size 1
insert carrot 7
size 2
insert grapefruit 1
size 3
insert banana 8
size 4
get apple 3
get carrot 7
get grapefruit 1
get banana 8
size 4
size 0
insert apple 3
size 1
insert carrot 7
size 2
insert grapefruit 1
size 3
insert banana 8
size 4
contains apple true
contains lettuce false
contains carrot true
contains grapefruit true
contains cabbage false
contains banana true
contains cucumber false
contains apples false
size 4
insert amylases 1
insert amyls 1
insert Amys 1
insert an 1
insert Anabaptist 1
insert Anabaptists 1
insert Anabaptists 1
insert analysands 1
insert analyse 1
insert appraised 1
insert appraisees 1
insert appraiser 1
insert appraisers 1
insert appraisers 1
insert appraises 1
insert appraising 1
insert appraisingly 1
insert appreciable 1
insert appreciably 1
insert appreciate 1
insert appreciated 1
insert appreciates 1
insert appreciating 1
insert appreciation 1
insert appreciations 1
insert appreciations 1
insert appreciative 1
insert appreciatively 1
insert appreciativeness 1
insert appreciativenesss 1
insert appreciator 1
insert appreciators 1
insert appreciators 1
insert apprehend 1
insert apprehended 1
insert apprehender 1
insert apprehenders 1
insert apprehending 1
insert appropriator 1
insert appropriators 1
insert appropriators 1
insert approval 1
insert approvals 1
insert approvals 1
insert approve 1
insert approved 1
insert approver 1
insert approvers 1
insert approvers 1
insert approves 1
insert approving 1
insert approvingly 1
insert approx 1
insert approximate 1
insert approximated 1
insert approximately 1
insert approximates 1
insert approximating 1
insert approximation 1
insert approximations 1
insert approximations 1
insert approximative 1
insert approximatively 1
insert appurtenance 1
insert appurtenances 1
insert appurtenances 1
insert appurtenant 1
insert Apr 1
insert apricot 1
insert apricots 1
insert apricots 1
insert April 1
insert Aprils 1
insert Aprils 1
insert apron 1
insert aproned 1
insert aprons 1
insert aprons 1
insert apropos 1
insert apse 1
insert apses 1
insert apses 1
insert apsis 1
insert apsiss 1
insert apt 1
insert apter 1
insert aptest 1
insert aptitude 1
insert aptitudes 1
insert aptitudes 1
insert aptly 1
insert aptness 1
insert aptnesses 1
insert aptnesss 1
insert aqua 1
insert aquaculture 1
insert aquacultures 1
insert aquacultures 1
insert aqualung 1
insert aqualungs 1
insert aqualungs 1
insert aquamarine 1
insert aquamarines 1
insert aquamarines 1
insert aquanaut 1
insert aquanauts 1
insert aquanauts 1
insert aquaplane 1
insert aquaplaned 1
insert aquaplanes 1
insert aquaplanes 1
insert aquaplaning 1
insert aquaria 1
insert aquarium 1
insert aquariums 1
insert aquariums 1
insert Aquarius 1
insert Aquariuss 1
insert aquas 1
insert aquas 1
insert aquatic 1
insert aquatically 1
insert aquatics 1
insert aquavit 1
insert aquavits 1
insert aquavits 1
insert aqueduct 1
insert aqueducts 1
insert aqueducts 1
insert aqueous 1
insert aqueously 1
insert aquicultures 1
insert aquifer 1
insert aquifers 1
insert aquifers 1
insert aquiline 1
insert Aquinas 1
insert aquittal 1
insert Arab 1
insert arabesque 1
insert arabesques 1
insert arabesques 1
insert Arabia 1
insert Arabian 1
insert Arabians 1
insert Arabians 1
insert Arabias 1
insert Arabic 1
insert Arabics 1
insert arabilities 1
insert arability 1
insert arabilitys 1
insert arable 1
insert arables 1
insert Arabs 1
insert Arabs 1
insert arachnid 1
insert Arachnida 1
insert arachnids 1
insert arachnids 1
insert arachnoid 1
insert arachnoids 1
insert arachnophobia 1
insert Arafat 1
insert Arafats 1
insert araldite 1
insert Aramaic 1
insert Arapaho 1
insert Arapahos 1
insert Ararat 1
insert Ararats 1
insert arbiter 1
insert arbiters 1
insert arbiters 1
insert arbitrage 1
insert arbitraged 1
insert arbitrager 1
insert arbitragers 1
insert arbitragers 1
insert arbitrages 1
insert arbitrages 1
insert arbitrageur 1
